Start Task       : 2021-08-03-1048
Truckload No.    : TM21070045
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 7
Doc Max.         : 20
G Tote L.        : 20
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"bc57198f-876d-4ee8-babe-98c1e57515ea","truckload_no":"TM21070045","tm_index":"fc0bdc49-d2b8-4b22-8472-3ef5737ae477","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"7","docreturn_max":"20","return_tote_qty_xl":20,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070026
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 3
Tote M Max.      : 3
Doc Max.         : 4
G Tote L.        : 3
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"105e56f2-a8a2-483e-8ebb-9936b3e43d1e","truckload_no":"TM21070026","tm_index":"b97a9217-d3dd-4112-b3aa-f27683c6b255","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"3","return_tote_max_m":"3","docreturn_max":"4","return_tote_qty_xl":3,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070089
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 4
Doc Max.         : 11
G Tote L.        : 13
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"2551a353-1005-4e08-8a26-99e2edfaf0cc","truckload_no":"TM21070089","tm_index":"2c24dd8d-f21e-49db-a938-84efc27951bb","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"4","docreturn_max":"11","return_tote_qty_xl":13,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070069
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 3
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"bd61e155-db53-4d6c-ac59-9c44f69fe7c9","truckload_no":"TM21070069","tm_index":"1236361d-6e0a-4948-b563-8ab616658951","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"3","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070055
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 0
Doc Max.         : 7
G Tote L.        : 9
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"3b59deec-08b5-401c-9165-9e76f2df73a7","truckload_no":"TM21070055","tm_index":"a2a0cc68-bdc5-40a1-8902-c90ceec145f2","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"0","docreturn_max":"7","return_tote_qty_xl":9,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070049
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 2
Doc Max.         : 7
G Tote L.        : 12
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"8082f563-9a63-4b81-aac2-ab38a5fd077a","truckload_no":"TM21070049","tm_index":"d37760e3-7878-47db-ae02-ced62affacb3","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"2","docreturn_max":"7","return_tote_qty_xl":12,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070052
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 1
Doc Max.         : 6
G Tote L.        : 19
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"42a7fa2c-de3b-40f1-8b04-ab93d01f13b5","truckload_no":"TM21070052","tm_index":"aa335f60-6554-41a7-86c3-62c693923f21","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"1","docreturn_max":"6","return_tote_qty_xl":19,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070054
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 12
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"b2544a0c-f999-435c-8b7e-aba5f15f794b","truckload_no":"TM21070054","tm_index":"6ed30615-f4fb-4038-b378-22470a0199d5","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":12,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070117
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 25
Tote M Max.      : 3
Doc Max.         : 15
G Tote L.        : 25
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"23e5f233-3978-4262-a0cd-abf5a4c20b9f","truckload_no":"TM21070117","tm_index":"d3770ed4-f90c-4c94-b431-de7e45a5aafb","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"25","return_tote_max_m":"3","docreturn_max":"15","return_tote_qty_xl":25,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070109
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 15
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"3aaf536e-ba13-4853-8dd4-ac7ae5878a68","truckload_no":"TM21070109","tm_index":"041fe699-ce55-4719-ac23-9daadf655751","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":15,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070010
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 1
Doc Max.         : 11
G Tote L.        : 17
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"222a0703-1e97-489e-9964-b04e7eb03d37","truckload_no":"TM21070010","tm_index":"769ab95d-063b-4d52-9f33-168cc9f9c8ef","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"1","docreturn_max":"11","return_tote_qty_xl":17,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070047
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 14
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"cee3b0c6-86c4-45df-9e87-bb0c39d0a400","truckload_no":"TM21070047","tm_index":"4b142084-c5d5-4733-a1a2-21b617588234","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"14","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070118
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 10
Doc Max.         : 22
G Tote L.        : 21
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 22
Send TMS         : {"truckload_index":"6334ca7b-8941-4a09-8f19-bcafe8645ccb","truckload_no":"TM21070118","tm_index":"a60cea40-b0e2-49d6-bf27-ccdda9a33239","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"10","docreturn_max":"22","return_tote_qty_xl":21,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":22}
Send TMS Result  : False
Truckload No.    : TM21070032
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 10
Doc Max.         : 23
G Tote L.        : 12
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"8cb26518-eee9-447a-87fc-bd0ff8890749","truckload_no":"TM21070032","tm_index":"5bb01df8-c43d-4ef0-9afd-95853e12cd92","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"10","docreturn_max":"23","return_tote_qty_xl":12,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070022
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 7
Doc Max.         : 15
G Tote L.        : 16
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"5d92700c-2e62-4c65-8721-bfdc05874056","truckload_no":"TM21070022","tm_index":"1daf4886-e3a4-4a17-98d2-d903e2915558","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"7","docreturn_max":"15","return_tote_qty_xl":16,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070120
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 5
Doc Max.         : 19
G Tote L.        : 17
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"8fe5c892-a864-4dce-9366-c8271be16c3d","truckload_no":"TM21070120","tm_index":"37062b66-67ae-471a-9e15-b31a88fedc0f","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"5","docreturn_max":"19","return_tote_qty_xl":17,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Start Task       : 2021-08-03-1050
Select Truckload : 120
Truckload No.    : TM21070031
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 8
Doc Max.         : 19
G Tote L.        : 14
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"6bf5dcb5-b01b-42b8-8cf2-00e5907dd00f","truckload_no":"TM21070031","tm_index":"b01723dd-108d-4964-b851-a50bf686c4dd","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"8","docreturn_max":"19","return_tote_qty_xl":14,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070075
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 16
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"9b2c704b-d4c1-4a52-aea3-03db52790a0a","truckload_no":"TM21070075","tm_index":"dabe9802-408e-4fdb-a0fa-a1eb7221c871","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"16","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070100
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 15
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"cc36f742-7244-4c26-8e17-044219146760","truckload_no":"TM21070100","tm_index":"dd257a3b-3860-4768-96ae-611ea83df021","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":15,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070039
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 10
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"4d8a5657-d7d5-46fa-8491-04dd940aaafd","truckload_no":"TM21070039","tm_index":"d0496fcb-7592-4116-b80f-cf50c282906c","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"10","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070083
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 13
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"17813d26-b2ca-441b-93b8-09eda99112db","truckload_no":"TM21070083","tm_index":"ca54f504-04d1-44bf-a433-eca1a43ed429","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":13,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070065
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 3
Doc Max.         : 12
G Tote L.        : 10
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"fa50acb3-340e-4b1a-86e2-0bb132f6830c","truckload_no":"TM21070065","tm_index":"23429604-b8f2-44a5-a933-b37630bc6050","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"3","docreturn_max":"12","return_tote_qty_xl":10,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070007
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 5
Doc Max.         : 14
G Tote L.        : 14
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"64ef34f9-49e9-4556-8c20-0f9cec8c5dd3","truckload_no":"TM21070007","tm_index":"1192f2aa-d16b-4636-9bb0-c3b5f445d711","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"5","docreturn_max":"14","return_tote_qty_xl":14,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070057
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 1
Doc Max.         : 5
G Tote L.        : 20
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
Send TMS         : {"truckload_index":"5e26093c-4da6-4ae0-9116-14a66d80d1de","truckload_no":"TM21070057","tm_index":"ee7a6ee4-4520-467a-b578-28a6ea5a0e14","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"1","docreturn_max":"5","return_tote_qty_xl":20,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070035
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 11
Doc Max.         : 24
G Tote L.        : 20
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"cd186c25-9c96-49c4-b864-1614a0893bca","truckload_no":"TM21070035","tm_index":"c5637af4-22b8-4cf3-9880-2cf61a2c6c40","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"11","docreturn_max":"24","return_tote_qty_xl":20,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070124
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 12
Doc Max.         : 24
G Tote L.        : 10
G Tote M.        : 12
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"e33205e9-874f-4c34-9737-184734225853","truckload_no":"TM21070124","tm_index":"b7c4f9ea-1339-4867-b17d-295b49654a92","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"12","docreturn_max":"24","return_tote_qty_xl":10,"return_tote_qty_m":12,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070006
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 12
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"a565093a-8895-4ae0-b950-1b0f9bc25de2","truckload_no":"TM21070006","tm_index":"22f1f107-81dd-4106-9c04-2cae784f74ef","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":12,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070084
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 4
Tote M Max.      : 9
Doc Max.         : 14
G Tote L.        : 4
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"56fd3d8d-4592-4e40-bd5b-1b4587160ab9","truckload_no":"TM21070084","tm_index":"1ccf306b-71b7-4ed1-94a3-6ef21c590537","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"4","return_tote_max_m":"9","docreturn_max":"14","return_tote_qty_xl":4,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070040
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 4
Doc Max.         : 12
G Tote L.        : 16
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"b718d06c-4395-4ea9-9307-1b611a2ac5eb","truckload_no":"TM21070040","tm_index":"d725546b-b196-4f16-bf93-327f00cdf1bd","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"4","docreturn_max":"12","return_tote_qty_xl":16,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070058
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 14
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"fc612c04-3c9c-4099-ac88-1d50a2aca19b","truckload_no":"TM21070058","tm_index":"bcae4b0d-33ed-4029-8ad3-e3d4b1fe4200","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":14,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070004
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 7
Tote M Max.      : 6
Doc Max.         : 8
G Tote L.        : 7
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"4752725e-27b8-4750-91a1-1f01941bb2ec","truckload_no":"TM21070004","tm_index":"9cf0226d-7c21-4f7c-9897-4271fa004b24","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"7","return_tote_max_m":"6","docreturn_max":"8","return_tote_qty_xl":7,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070002
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 3
Doc Max.         : 10
G Tote L.        : 15
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"6076206d-1fc5-44f2-a51e-20bb3b4714ff","truckload_no":"TM21070002","tm_index":"c7621ad9-9b4a-48c0-9953-73531160845d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"3","docreturn_max":"10","return_tote_qty_xl":15,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070048
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 6
Doc Max.         : 12
G Tote L.        : 10
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"b99d66e1-2eef-4277-ab81-20c1b9f748ef","truckload_no":"TM21070048","tm_index":"510d884a-801b-424f-bbf7-18ecdfb9f04b","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"6","docreturn_max":"12","return_tote_qty_xl":10,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070012
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 9
Doc Max.         : 16
G Tote L.        : 15
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"cd55dc8a-a10f-4d75-9e3d-255e4887ed1b","truckload_no":"TM21070012","tm_index":"5064e256-a793-43db-a51d-d1caf6d82a8d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"9","docreturn_max":"16","return_tote_qty_xl":15,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070009
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 19
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"5d9af438-2b2f-44bc-bf4d-287c29bde0e0","truckload_no":"TM21070009","tm_index":"fc33eb7f-5374-4dfc-907b-c2da7a7bfd50","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":19,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070024
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 0
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 0
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"cbde143b-fcd1-4b41-9080-2ab39c6f2e8e","truckload_no":"TM21070024","tm_index":"f0c7b648-a1cb-4144-bf64-3765c515b412","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"0","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":0,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070088
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 3
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"c3f348b1-51c4-43b6-8b9b-2c8105142e25","truckload_no":"TM21070088","tm_index":"bec10e31-8a15-4da5-b941-9d800907f215","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"3","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070099
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 7
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"ab2785a7-f1ec-427f-81b5-2cd213303754","truckload_no":"TM21070099","tm_index":"d78c6cf3-9de7-49c7-aac8-1b5433347d54","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"7","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070016
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 10
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"8888cd2d-9719-4173-b336-2cd7a83b7a51","truckload_no":"TM21070016","tm_index":"a7c8631b-f761-4020-b9b6-4bfdf1b425c9","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":10,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070104
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 0
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 0
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
